Options Chain Generated: 2024-10-31 01:26:44

=== Options Chain for GOOGL ===
Current Price: $135.75 | IV Rank: 45.0% | Dividend Yield: 1.50%
Days to Expiration: 91 | Risk-free Rate: 4.0%

=== CALLS ===
Strike | Type | Bid | Ask | Last | Volume | OI | IV% | Delta
122.18 | EUR-P |  1.48 |  1.56 |  1.52 |    391 | 3839 |  0.0 |  0.01
122.18 | AMR-P |  1.50 |  1.58 |  1.54 |    207 | 2277 |  0.0 |  0.01
122.18 | BER-P |  1.49 |  1.57 |  1.53 |    762 | 4782 |  0.0 |  0.01
125.57 | EUR-P |  2.25 |  2.36 |  2.31 |    251 |  608 |  0.0 |  0.02
125.57 | AMR-P |  2.28 |  2.40 |  2.34 |    194 | 1298 |  0.0 |  0.02
125.57 | BER-P |  2.27 |  2.39 |  2.33 |     40 | 4269 |  0.0 |  0.02
128.96 | EUR-P |  3.24 |  3.41 |  3.33 |     29 |  647 |  0.0 |  0.03
128.96 | AMR-P |  3.29 |  3.46 |  3.38 |    982 | 3525 |  0.0 |  0.03
128.96 | BER-P |  3.28 |  3.45 |  3.37 |     25 | 4737 |  0.0 |  0.03
132.36 | EUR-P |  4.46 |  4.69 |  4.58 |    129 | 2715 |  0.0 |  0.03
132.36 | AMR-P |  4.54 |  4.77 |  4.65 |    969 | 3492 |  0.0 |  0.04
132.36 | BER-P |  4.52 |  4.75 |  4.64 |    336 | 2066 |  0.0 |  0.04
135.75 | EUR-P |  5.89 |  6.20 |  6.04 |    644 | 2289 |  0.0 | -0.04
135.75 | AMR-P |  6.01 |  6.32 |  6.16 |    102 | 1055 |  0.0 | -0.05
135.75 | BER-P |  5.99 |  6.29 |  6.14 |    585 | 4518 |  0.0 | -0.05
139.14 | EUR-P |  7.69 |  8.09 |  7.89 |    157 | 1454 |  0.0 | -0.06
139.14 | AMR-P |  7.84 |  8.24 |  8.04 |    464 | 2053 |  0.0 | -0.06
139.14 | BER-P |  7.83 |  8.23 |  8.03 |    681 |  607 |  0.0 | -0.06
142.54 | EUR-P |  9.69 | 10.19 |  9.94 |    535 |  688 |  0.0 | -0.07
142.54 | AMR-P |  9.90 | 10.41 | 10.15 |    746 | 2999 |  0.0 | -0.07
142.54 | BER-P |  9.88 | 10.39 | 10.13 |    539 | 4663 |  0.0 | -0.07
145.93 | EUR-P | 11.87 | 12.48 | 12.17 |    977 |  886 |  0.0 | -0.08
145.93 | AMR-P | 12.16 | 12.78 | 12.47 |    643 | 4011 |  0.0 | -0.09
145.93 | BER-P | 12.13 | 12.75 | 12.44 |    670 | 2644 |  0.0 | -0.09
149.33 | EUR-P | 14.34 | 15.07 | 14.71 |    479 |  776 |  0.0 | -0.10
149.33 | AMR-P | 14.71 | 15.46 | 15.08 |    593 |  437 |  0.0 | -0.10
149.33 | BER-P | 14.68 | 15.43 | 15.06 |    136 |  137 |  0.0 | -0.10
152.72 | EUR-P | 16.95 | 17.82 | 17.38 |    479 | 2063 |  0.0 | -0.11
152.72 | AMR-P | 17.43 | 18.32 | 17.87 |    960 |   71 |  0.0 | -0.12
152.72 | BER-P | 17.38 | 18.27 | 17.83 |    789 |   79 |  0.0 | -0.12
